"","DIA1","PN1a","B1","N1","IM1","I1","L1","Sep1","DIED","n"
"120",1,0,0,0,0,1,1,1,1,1
"121",1,0,0,0,1,0,0,0,0,28
"122",1,0,0,0,1,0,0,0,1,1
"123",1,0,0,0,1,0,0,1,0,14
"124",1,0,0,0,1,0,1,0,0,3
"125",1,0,0,0,1,1,0,0,1,1
"126",1,0,0,1,0,0,0,0,0,36
"127",1,0,0,1,0,0,0,0,1,2
"128",1,0,0,1,0,0,0,1,0,274
"129",1,0,0,1,0,0,0,1,1,24
"130",1,0,0,1,0,0,1,1,0,3
"131",1,0,0,1,0,1,0,1,0,4
"132",1,0,0,1,0,1,0,1,1,1
"133",1,0,0,1,0,1,1,0,0,1
"134",1,0,0,1,1,0,0,0,0,1
"135",1,0,0,1,1,0,0,1,0,19
"136",1,0,0,1,1,0,0,1,1,1
"137",1,0,0,1,1,0,1,1,0,6
"138",1,0,0,1,1,0,1,1,1,1
"139",1,0,1,0,0,0,0,0,0,29
"140",1,0,1,0,0,0,0,0,1,12
"141",1,0,1,0,0,0,0,1,0,34
"142",1,0,1,0,0,0,0,1,1,11
"143",1,0,1,0,0,0,1,1,1,1
"144",1,0,1,0,0,1,0,0,1,1
"145",1,0,1,0,0,1,0,1,0,1
"146",1,0,1,0,1,0,0,0,0,3
"147",1,0,1,0,1,0,0,1,0,1
"148",1,0,1,0,1,0,0,1,1,1
"149",1,0,1,1,0,0,0,0,0,1
"150",1,0,1,1,0,0,0,1,0,5
"151",1,0,1,1,0,0,0,1,1,2
"152",1,0,1,1,0,1,0,1,0,1
"153",1,1,0,0,0,0,0,0,0,1322
"154",1,1,0,0,0,0,0,0,1,40
"155",1,1,0,0,0,0,0,1,0,2277
"156",1,1,0,0,0,0,0,1,1,91
"157",1,1,0,0,0,0,1,0,0,11
"158",1,1,0,0,0,0,1,0,1,1
"159",1,1,0,0,0,0,1,1,0,27
"160",1,1,0,0,0,0,1,1,1,1
"161",1,1,0,0,0,1,0,0,0,13
"162",1,1,0,0,0,1,0,0,1,3
"163",1,1,0,0,0,1,0,1,0,29
"164",1,1,0,0,0,1,0,1,1,7
"165",1,1,0,0,0,1,1,0,0,1
"166",1,1,0,0,0,1,1,1,0,1
"167",1,1,0,0,1,0,0,0,0,36
"168",1,1,0,0,1,0,0,0,1,3
"169",1,1,0,0,1,0,0,1,0,30
"170",1,1,0,0,1,0,0,1,1,2
"171",1,1,0,0,1,0,1,1,0,1
"172",1,1,0,0,1,1,0,1,0,1
"173",1,1,0,1,0,0,0,0,0,34
"174",1,1,0,1,0,0,0,0,1,1
"175",1,1,0,1,0,0,0,1,0,341
"176",1,1,0,1,0,0,0,1,1,23
"177",1,1,0,1,0,0,1,0,0,3
"178",1,1,0,1,0,0,1,1,0,3
"179",1,1,0,1,0,1,0,1,0,3
"180",1,1,0,1,1,0,0,1,0,14
"181",1,1,0,1,1,0,0,1,1,1
"182",1,1,0,1,1,0,1,1,0,3
"183",1,1,0,1,1,1,1,1,0,1
"184",1,1,1,0,0,0,0,0,0,56
"185",1,1,1,0,0,0,0,0,1,7
"186",1,1,1,0,0,0,0,1,0,48
"187",1,1,1,0,0,0,0,1,1,12
"188",1,1,1,0,0,1,0,0,0,1
"189",1,1,1,0,0,1,0,1,0,2
"190",1,1,1,0,0,1,0,1,1,3
"191",1,1,1,0,1,0,0,0,0,1
"192",1,1,1,0,1,0,0,1,0,1
"193",1,1,1,1,0,0,0,0,0,1
"194",1,1,1,1,0,0,0,0,1,1
"195",1,1,1,1,0,0,0,1,0,2
"196",1,1,1,1,0,0,0,1,1,3
